Bandwidth(Mbps),OCC,DINA,MEDIA,Ours
0.5,3931.9310179747263,16249.431017974726,3563.4879507717415,3563.4879507717415
1.0,3931.9310179747263,10093.181017974726,3563.4879507717415,3563.4879507717415
2.0,3931.9310179747263,7015.056017974726,3563.4879507717415,3931.9310179747263
5.0,3931.9310179747263,5168.181017974726,3563.4879507717415,3520.102226868039
10.0,3931.9310179747263,4552.556017974726,3563.4879507717415,3520.102226868039
20.0,3931.9310179747263,4244.743517974726,3563.4879507717415,3520.102226868039
50.0,3931.9310179747263,4060.0560179747263,3563.4879507717415,3520.102226868039
100.0,3931.9310179747263,3998.4935179747263,3563.4879507717415,3520.102226868039
200.0,3931.9310179747263,3967.7122679747263,3563.4879507717415,3520.102226868039
500.0,3931.9310179747263,3949.2435179747263,3447.7813585773547,3503.4572873678067
